reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00192/FUL,Substitution of house types for plots 292-295 and detached garage added to plot 293.,2023-05-10,local-authority:DNC,,,,
23/00196/FUL,Erection of a ground floor rear infill extension. Erection of a flat roof first floor level rear extension and erection of a flat roof two storey side extension to a semi-detached dwelling house.,2023-04-13,local-authority:DNC,,,,
23/00198/FUL,Change of use of 3 bedroom dwelling to two x one bedroom self contained flats (amended),2023-06-28,local-authority:DNC,,,,
23/00202/FUL,Erection of two storey rear extension,2023-07-04,local-authority:DNC,,,,
23/00203/FUL,Erection of rear extension and external alterations,2023-04-11,local-authority:DNC,,,,
23/00205/FUL,"Erection of a pumping station, associated infrastructure, access road and HV diversion within Phase 4 of development.",2023-07-28,local-authority:DNC,,,,
23/00210/FUL,Installation of a storage container for athletics equipment,2023-03-23,local-authority:DNC,,,,
23/00215/FUL,Demolition of existing single storey rear and side extension and erection of new 2 storey side and rear extension,2023-03-15,local-authority:DNC,,,,
23/00216/FUL,Erection of single storey front extension and single storey rear and side extension,2023-04-04,local-authority:DNC,,,,
23/00220/FUL,Conversion of stable to a 2-bedroom dwelling,2023-03-27,local-authority:DNC,,,,
23/00224/FUL,Erection of a single storey outbuilding (Garage and Store).,2023-03-27,local-authority:DNC,,,,
23/00225/FUL,"Proposed extensions to the side elevations of the existing dwelling, increasing the roof height, installing new materials on the dwelling facades, changing and inserting windows and doors (being a resubmission of 22/02348/FUL refused 21.12.2022)",2023-04-27,local-authority:DNC,,,,
23/00227/FUL,"Proposed Agricultural Barn and welfare building together with hardstanding, car parking and access track  (amended plans) (without compliance with condition 2 of planning application 21/01932/FUL granted on 31/03/2022 - (amended plans).",2023-07-06,local-authority:DNC,,,,
23/00228/FUL,"Installation of 3 no. roof-lights to the second floor, replacement of 7 no. windows, replacement of 1 no. door with a window, and removal of external fire escape stairwell",2023-04-18,local-authority:DNC,,,,
23/00229/FUL,Change of use to allow the running of a dog grooming business from a dog grooming pod (retrospective),2023-06-28,local-authority:DNC,,,,
23/00230/FUL,Alterations to windows and new external finish to dwelling,2023-05-15,local-authority:DNC,,,,
23/00233/FUL,Conversion of existing garage into a utility and shower room with a tiled roof.,2023-03-15,local-authority:DNC,,,,
23/00237/FULM,"Change of use of land for fishing use including construction of access track and parking area.
",2024-10-17,local-authority:DNC,,,,
23/00239/FUL,"Erection of a single storey rear extension, following the demolition of the existing rear extension.",2023-03-20,local-authority:DNC,,,,
23/00240/FUL,AMENDED DESCRIPTION AND PLANS: Installation of 18 pole mounted security cameras and associated works.,2023-07-04,local-authority:DNC,,,,
23/00244/FUL,Erection of single storey front / side extension to form new 'lap lane' indoor swimming pool with associated plant room,2023-04-04,local-authority:DNC,,,,
23/00245/FUL,Change of use of bingo hall (sui generis) to furniture shop (Class E),2023-05-05,local-authority:DNC,,,,
23/00247/FUL,Erection of a single storey rear extension and conversion of attached garage to a study of the dwelling house.,2023-03-21,local-authority:DNC,,,,
23/00255/FULM,Application to remove Condition 9 (EV Charging) of Planning Permission 16/03186/REMM granted on 20.12.2022.,2024-04-02,local-authority:DNC,,,,
23/00256/FUL,Erection of timber posts and associated lighting and an external standalone bar (Part Retrospective),2023-06-01,local-authority:DNC,,,,
23/00267/FUL,Erection of single storey wet room/store and porch,2023-04-14,local-authority:DNC,,,,
23/00268/FUL,"Alterations to existing rear extension and rear infill extension, with the heightening of boundary wall and installation of a chimney flue.",2023-03-28,local-authority:DNC,,,,
23/00270/FUL,"Erection of a two storey side/rear extension, erection of a ground floor rear extension and erection of a front canopy, following the demolition of the existing conservatory, kitchen extension, garage, store and shed.",2023-03-21,local-authority:DNC,,,,
23/00272/FUL,Conversion of existing attached garage to living accommodation and removal of existing flat roof to garage and front porch and installation of a hipped roof,2023-04-06,local-authority:DNC,,,,
23/00274/TPO,"Consent to fell and replace (with Sequoiadendron giganteum) one southernmost cedar and tip prune adjacent cedar to provide for 3m property clearance; the trees being subject to G1 of Doncaster Borough Council Tree Preservation Order (No.104) 1992 77 Bawtry Road, Bessacarr",2023-03-14,local-authority:DNC,,,,
23/00276/FUL,"Erection of single storey side extension, replacement side porch, and demolition of existing WC.",2023-04-24,local-authority:DNC,,,,
23/00277/FUL,Replacement of 1.2m boundary fence with 1.8m boundary fence plus erection of sliding gate (part-retrospective),2024-01-29,local-authority:DNC,,,,
23/00280/FUL,Proposed new industrial unit (class B2) use,2023-06-23,local-authority:DNC,,,,
23/00281/FUL,Erection of first floor extension above living room at front of house.,2023-03-22,local-authority:DNC,,,,
23/00283/FUL,Conversion of detached pitched roof domestic outbuilding to form ancillary residential annex with associated external alterations,2023-05-26,local-authority:DNC,,,,
23/00284/FUL,Redevelopment of Castle Cottage and conversion of the stables with single storey extension to form a new dwelling.,2023-04-18,local-authority:DNC,,,,
23/00285/LBC,"Listed building consent for the removal of existing render, clean and re render Front (already approved) North Elevation and South Elevation. Kitchen Extension will have render removed and paint work removed. The brickwork will be assessed and re rendered or painted.",2023-03-24,local-authority:DNC,,,,
23/00287/FUL,"Erection of 7no dwellings, associated detached garages, access and associated works  (Being variation of condition 2 of planning application 21/01751/FUL granted 17/03/2022 - remove the proposed detached garage block and reconfiguration of parking arrangements)",2023-03-29,local-authority:DNC,,,,
23/00291/FUL,Insertion of new window at first floor level into existing building elevation.,2023-04-11,local-authority:DNC,,,,
23/00293/FUL,Erection of first floor side extension together with ground floor rear extension,2023-04-05,local-authority:DNC,,,,
23/00296/FUL,Erection of two storey side extension,2023-03-28,local-authority:DNC,,,,
23/00299/FUL,Variation of condition 3 (Delivery Times) of planning application 13/00181/WCC granted 28/03/2013. (Being variation of condition 3 of planning application 21/00165/FUL granted 30/06/2021).,2023-04-03,local-authority:DNC,,,,
23/00300/REMM,"Details of Landscaping, being a matter reserved in outline application 17/02958/FULM, granted on 27.07.2018",2024-07-19,local-authority:DNC,,,,
23/00303/FUL,Erection of two storey side extension.  Erection of 1st floor extension on top of the existing single storey flat roof extension. Erection of single storey flat roof extension to the rear.,2023-05-17,local-authority:DNC,,,,
23/00305/FUL,"Erection of first floor extension (being resubmission of application 21/02575/FUL, refused on 14/03/2022)",2023-04-13,local-authority:DNC,,,,
23/00310/FUL,Formation of rooms in roof space and installation of flat roof dormer window to rear.,2023-03-29,local-authority:DNC,,,,
23/00316/FUL,"Erection of a single storey extension to rear and side of dwelling, including rendering entire property following the demolition of existing garage",2023-05-02,local-authority:DNC,,,,
23/00318/LBC,Installation of 2 new customer information screens,2023-04-17,local-authority:DNC,,,,
23/00322/FUL,"Variation of condition 2 (approved plans) of planning application 18/02264/FUL granted 12/06/2019 (also amended by 20/01215/FUL, granted on 12.06.2019)
'Erection of dwelling and detached garage with living accommodation in the roof space, following demolition of existing barn plus part alterations/part replacement of boundary walls'
(Replace eaves course with red clay pantile)",2023-10-10,local-authority:DNC,,,,
23/00323/TPO,"Consent to crown reduce (2m height; 1.5m laterally) one oak; the tree being subject to T1 of Doncaster Borough Council Tree Preservation Order (No.318) 2008 No.9 Ivy House Court, Auckley",2023-10-02,local-authority:DNC,,,,
23/00324/LBC,Listed Building Consent for internal alterations,2023-03-06,local-authority:DNC,,,,
23/00327/FUL,"Erection of a single storey detached outbuilding, ancillary to the main residential dwelling, containing store and gym/bar",2023-04-18,local-authority:DNC,,,,
23/00329/FUL,Installation of external insulation and render with brick cladding on porch and new porch roof with canopy- (Retrospective),2024-05-20,local-authority:DNC,,,,
23/00333/FUL,"Erection of a single storey rear extension, following demolition of the existing conservatory.",2023-04-03,local-authority:DNC,,,,
23/00334/FUL,Erection of a 2 storey side extension with a pitched roof to match the existing.,2023-04-03,local-authority:DNC,,,,
23/00341/FUL,Erection of detached garage to rear of dwelling,2023-05-09,local-authority:DNC,,,,
23/00342/COU,Change of use of residential dwelling to form store for existing shop,2023-04-06,local-authority:DNC,,,,
23/00346/COU,Change of use of the third floor of the former Trades & Labour Club from sui generis to offices (Use Class E(g).,2023-05-03,local-authority:DNC,,,,
23/00347/FULM,"Proposed external alterations to an existing warehouse unit including new car park entrance barriers and associated alterations to gate, 2no external canopies to level access dock doors, new secure pedestrian turnstiles and fence alterations to main entrance, new external pallet store, new external refuse storage enclosure and alterations to previously consented sprinkler tanks and pump house",2023-08-31,local-authority:DNC,,,,
23/00348/FUL,"Erection of a rear and side extension, demolishing existing garage and rebuilding in its existing footprint. Erection of a garden shed in brick",2023-04-20,local-authority:DNC,,,,
23/00351/TPO,"Consent to crown clean and crown lift red horse chestnut (T1) to 5m over the drive and 4m over the garden, crown Corsican pine (T2), crown clean (incl. removal of sucker growth) x2 limes (G3) and lime (T4); the trees being subject to Doncaster Rural District Council Tree Preservation Order (No.16) 1971 Auckley",2023-03-14,local-authority:DNC,,,,
23/00355/FUL,Erection of an extension to the side of the existing detached garage,2023-05-11,local-authority:DNC,,,,
23/00356/FUL,"Erection of a rear single storey extension to adjoin existing unused garage/outbuilding to main dwelling house and associated external alterations, including replacement of flat roof with hipped roof",2023-04-19,local-authority:DNC,,,,
23/00357/FUL,AMENDED - Erection of a two storey side and a two storey rear extension and conversion of the loft to the dwelling house.,2023-04-20,local-authority:DNC,,,,
23/00361/FUL,Raise height of roof for loft conversion and installation of roof lights.,2023-05-02,local-authority:DNC,,,,
23/00362/3FUL,"Erection of an off-site constructed changing places facility, which includes washing and changing facilities, to support the needs of the disabled, with associated landscape works.",2023-07-25,local-authority:DNC,,,,
23/00363/FUL,Erection of a brick shed in the back garden (Retrospective).,2023-04-04,local-authority:DNC,,,,
23/00366/FUL,Change of use of vacant building to hairdressers salon,2023-08-21,local-authority:DNC,,,,
