reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00405/TPO,Consent to fell and replace one multi-stemmed Ash tree (T89). The tree is subject to T89 of Doncaster Borough Council Tree Preservation Order (No.65) 1994 Arksey,2023-05-02,local-authority:DNC,,,,
23/00406/FUL,Erection of a conservatory to the rear of the dwelling,2023-04-26,local-authority:DNC,,,,
23/00414/3ADV,AMENDED - Display of a non-illuminated advertisement sign.,2023-04-05,local-authority:DNC,,,,
23/00415/FUL,AMENDED - Erection of a first floor level extension to the rear with a parapet wall feature.,2023-08-01,local-authority:DNC,,,,
23/00418/FUL,Change of use of land from the existing vacant café/office building to general industrial (Use Class B2) and storage (Use Class B8),2023-05-11,local-authority:DNC,,,,
23/00419/FUL,Erection of a single storey extension to the rear and side of dwelling.,2023-04-17,local-authority:DNC,,,,
23/00425/FUL,"Erection of a new single storey rear extension, following the demolition of the existing single storey rear (conservatory) extension.",2023-04-18,local-authority:DNC,,,,
23/00429/FUL,Erection of outbuilding with solar panels to front elevation following demolition of existing outbuilding,2023-05-25,local-authority:DNC,,,,
23/00430/FUL,Installation of two rapid electric vehicle charging stations within two existing parking bays and associated equipment.,2023-04-14,local-authority:DNC,,,,
23/00431/FUL,Erection  of a two-storey side and rear extension following demolition of existing garage and outbuildings.,2023-04-18,local-authority:DNC,,,,
23/00433/FUL,Installation of two rapid electric vehicle charging stations within two existing parking bays and associated equipment,2023-04-13,local-authority:DNC,,,,
23/00434/TPO,Consent to crown reduce one Ash tree. The tree is subject to T9 Doncaster Borough Council Tree Preservation Order (No.302) 2009 Tickhill West.,2023-11-09,local-authority:DNC,,,,
23/00436/FUL,Erection of a detached garage to the side of the dwelling house.,2023-04-18,local-authority:DNC,,,,
23/00437/FUL,"Erection of first floor extension to side above existing side extension, a brick store to the opposite side and a conservatory to the rear.",2023-04-28,local-authority:DNC,,,,
23/00440/FULM,"Section 73 application to vary condition 1 (details) of planning application 17/01446/REMM as well as amendments to previously approved house types and landscaping under conditions 1 (details), 3 (landscaping) and 6 (materials) of planning application 21/01438/REMM.",2023-10-16,local-authority:DNC,,,,
23/00448/FUL,Section 73 Application to vary condition 2 of planning application 21/03427/FUL - to include solar panels on the roof and associated roof form alterations and to update the access as approved under permission 22/02333/FUL,2023-04-25,local-authority:DNC,,,,
23/00449/FUL,Erection of a garage for storage,2023-05-04,local-authority:DNC,,,,
23/00451/FUL,Erection of a front Porch extension and a two storey side/rear extension (Retrospective). Following the previous planning approval on the 31.01.2022 under reference no: 21/03528/FUL - the owner has changed the external material from brickwork to render to the side elevation of the side extension and to the rear elevation of the rear extension.,2023-04-13,local-authority:DNC,,,,
23/00452/FUL,Raising of roof to garage building and conversion to two x 1 bed flats (being a resubmission of 22/02561/FUL),2023-10-16,local-authority:DNC,,,,
23/00457/FUL,Erection of a  garden room.,2023-05-02,local-authority:DNC,,,,
23/00459/FUL,"Conversion of single storey domestic outbuilding to ancillary residential annex, with retention of associated external alterations (RETROSPECTIVE).",2023-06-14,local-authority:DNC,,,,
23/00460/FUL,"AMENDED - Erection of a 2 storey rear extension, a loft conversion, which includes the raising of the roof height of the dwelling house. With the installation of 2 pitched roof dormer windows to the front and 2 flat roof dormer windows to the rear. Erection of a garage extension to the side of the dwelling house. Plus the installation of a new entrance and first floor windows to the front of the dwelling house.",2023-04-18,local-authority:DNC,,,,
23/00461/FUL,Erection of a single storey infill extension to rear of dwelling and roof lights installed into existing extension roof,2023-05-19,local-authority:DNC,,,,
23/00462/FUL,"Erection of a first floor extension, replacement of canopy with bay window roof and front door canopy, and proposed blocking up of one window on the side elevation of the building",2023-05-02,local-authority:DNC,,,,
23/00464/FUL,Erection of a 2-storey side extension; single storey extension to rear and detached garage (being resubmission of 22/01085/FUL).,2023-08-29,local-authority:DNC,,,,
23/00468/FUL,Erection of two storey side extension (Being resubmission of 22/01180/FUL - to change the roof style from hipped roof to gable roof).,2023-04-26,local-authority:DNC,,,,
23/00470/FUL,Erection of two storey side extension / part two and part single storey rear extension and proposed garden room.,2023-05-31,local-authority:DNC,,,,
23/00471/FUL,Erection of a porch to front elevation,2023-05-24,local-authority:DNC,,,,
23/00473/ADV,Display of Free-Standing Advertising Information Unit featuring double-sided digital displays.,2023-06-12,local-authority:DNC,,,,
23/00474/ADV,Display of Free-Standing Advertising Information Unit featuring double-sided digital displays.,2023-05-16,local-authority:DNC,,,,
23/00475/ADV,Display of Free-Standing Advertising Information Unit featuring double-sided digital displays,2023-05-12,local-authority:DNC,,,,
23/00476/ADV,Display of a free-standing internally illuminated advertising information unit featuring double-sided digital displays.,2024-04-04,local-authority:DNC,,,,
23/00477/ADV,Display of free-standing advertising information unit featuring double-sided digital displays,2023-05-12,local-authority:DNC,,,,
23/00478/ADV,Display of a free standing internally illuminated advertising information unit featuring double-sided digital displays.,2023-04-20,local-authority:DNC,,,,
23/00482/FUL,Erection of conservatory,2023-05-04,local-authority:DNC,,,,
23/00483/FUL,Erection of a first floor and two-storey rear extension.,2023-06-07,local-authority:DNC,,,,
23/00486/FUL,"Erection of part single storey, part two-storey building to accommodate kennels, restaurant/bar, race control and associated facilities, following demolition of existing building",2023-10-13,local-authority:DNC,,,,
23/00487/FUL,"Erection of a single storey rear extension, following the demolition of the existing conservatory.",2023-04-21,local-authority:DNC,,,,
23/00488/FUL,"Change of use of former agricultural land to use as private garden at rear of Nos. 2, 4, 6, 10, 16, 18, 20 and 22 Bracken Close, Branton (Retrospective)",2023-07-27,local-authority:DNC,,,,
23/00489/COU,Change of use of industrial unit to exercise and nutrition training facility/gym (Use Class E(d) including use of existing adjacent parking area.,2023-05-15,local-authority:DNC,,,,
23/00490/FUL,Erection of a single storey rear extension following demolition of existing conservatory and rear extension.,2023-04-28,local-authority:DNC,,,,
23/00491/LBC,Listed building consent for erection of outbuilding with solar panels to front elevation following demolition of existing outbuilding,2023-05-25,local-authority:DNC,,,,
23/00493/ADV,Display of multiple internally and externally illuminated and non illuminated signs as well as non illuminated mini totem and non illuminated feather flags x 4,2023-05-12,local-authority:DNC,,,,
23/00494/FUL,Alteration to rear of dwelling to change from pitch roof to flat roof (RETROSPECTIVE).,2023-11-16,local-authority:DNC,,,,
23/00495/FUL,Erection of single storey side extension and porch to front.,2023-04-25,local-authority:DNC,,,,
23/00498/FUL,"Erection of a pitched roof wooden shed/garage to the side of the current garage, with the intention in time of removing the current old rotten shed (which is currently located between the garage and the main dwelling house).",2023-04-25,local-authority:DNC,,,,
23/00499/FUL,Conversion of three bedroom domestic property to form two self-contained flats  including the erection of a rear single-storey extension.,2024-02-26,local-authority:DNC,,,,
23/00500/FUL,Erection of a 2 storey rear extension and a porch to the front elevation,2023-04-28,local-authority:DNC,,,,
23/00501/FULM,Section 73 application to vary Condition 4 of Planning Permission 15/02975/FULM.  1. Amendments to layout and appearance of southern wing. 2. Resiting of gardeners cottage. 3. Updating all conditions to 15/02975/FULM.,2023-06-12,local-authority:DNC,,,,
23/00502/OUT,Outline application for the erection of a single dwelling on land to the rear of 21 St Marys Road (all matters reserved),2023-05-04,local-authority:DNC,,,,
23/00506/FUL,Erection of part two storey part single storey scout building following demolition of the existing building,2023-10-06,local-authority:DNC,,,,
23/00509/FUL,Erection of first floor pitched roof extension to rear,2023-05-11,local-authority:DNC,,,,
23/00510/FUL,"Internal alterations to existing dwelling to include provision of accommodation above existing garage, replacement of windows and doors to dwelling and EV charging point to the side of the existing dwelling",2023-06-29,local-authority:DNC,,,,
23/00511/LBC,"Internal alterations to existing dwelling to include provision of accommodation above existing garage, replacement of windows and doors to dwelling and EV charging point to the side of the existing dwelling",2023-06-29,local-authority:DNC,,,,
23/00513/FUL,Erection of flat roof single storey side and rear extensions.,2023-04-25,local-authority:DNC,,,,
23/00516/FUL,Erection of a four bedroom dwelling with associated double garage (This is a resubmission of previously approved application 20/00773/FUL without any changes).,2023-06-12,local-authority:DNC,,,,
23/00517/FUL,Erection of car windscreen repair facility (Use Class Sui Generis),2023-04-25,local-authority:DNC,,,,
23/00518/ADV,Display of non-illuminated signage on the elevations of a proposed windscreen repair facility,2023-04-25,local-authority:DNC,,,,
23/00524/FUL,Erection of single storey rear extension.,2023-05-04,local-authority:DNC,,,,
23/00525/FUL,Erection of extension to the side and rear elevations at ground floor level.,2023-04-25,local-authority:DNC,,,,
23/00527/FUL,Erection of 2 storey rear extension after first demolishing existing ground floor rear extension. Erection of porch and w/c to front elevation and a 2 storey bay window extension to front elevation.,2023-05-10,local-authority:DNC,,,,
23/00529/FUL,Erection of single storey extension to rear of detached dwelling including provision of obscure window to side elevation of existing dwelling,2023-05-11,local-authority:DNC,,,,
23/00530/FUL,Erection of porch to the front to replace existing (RETROSPECTIVE),2023-07-27,local-authority:DNC,,,,
23/00534/FUL,Erection of single storey extension to the rear,2023-07-17,local-authority:DNC,,,,
23/00538/FUL,"Erection of a modular extension, comprising a ground floor operating theatre suite and first floor plant room. In addition, an infill extension is proposed to provide a platform lift in between the Rehabilitation and Rockingham Wing, along with new additional car parking spaces.",2023-05-16,local-authority:DNC,,,,
