reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
21/00433/MIN-7,21/00433/MIN,U0125233,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-8,21/00433/MIN,U0125234,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-9,21/00433/MIN,U0125235,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-10,21/00433/MIN,U0125236,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-11,21/00433/MIN,U0125237,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-12,21/00433/MIN,U0125238,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-13,21/00433/MIN,U0125239,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-14,21/00433/MIN,U0125240,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-15,21/00433/MIN,U0125241,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-16,21/00433/MIN,U0125242,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
